pr_number,url,title,state,merged,author,created_at,merged_at,labels,files_changed,additions,deletions,changed_files_sample,score,needs_docs,confidence,signals
2199,https://github.com/NVIDIA/infra-controller/pull/2199,feat(api): Introduce VPC prefix lifecycle,closed,True,bcavnvidia,2026-06-04T16:38:23Z,2026-06-05T18:32:17Z,,47,2070,77,Cargo.lock|crates/admin-cli/src/devenv/config/apply/cmd.rs|crates/admin-cli/src/rpc.rs|crates/admin-cli/src/vpc_prefix/common.rs|crates/admin-cli/src/vpc_prefix/create/cmd.rs|crates/admin-cli/src/vpc_prefix/delete/cmd.rs|crates/admin-cli/src/vpc_prefix/show/args.rs|crates/admin-cli/src/vpc_prefix/show/cmd.rs,14,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:8|weak-keywords:2|negative-keywords:1
2216,https://github.com/NVIDIA/infra-controller/pull/2216,feat: Initial changes for Astra support,closed,True,srinivasadmurthy,2026-06-04T22:01:17Z,2026-06-10T19:29:58Z,,21,1222,597,crates/admin-cli/src/dpa/ensure/args.rs|crates/admin-cli/src/dpa/tests.rs|crates/api-core/Cargo.toml|crates/api-core/src/handlers/dpa.rs|crates/api-core/src/setup.rs|crates/api-core/src/tests/dpa_interfaces.rs|crates/api-db/migrations/20260602202538_add_dpa_card_type.sql|crates/api-db/src/dpa_interface.rs,14,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|strong-keywords:7|weak-keywords:1|negative-keywords:1
2272,https://github.com/NVIDIA/infra-controller/pull/2272,change(rest-api): Align REST API with new VpcPrefix lifecycle,closed,True,bcavnvidia,2026-06-05T21:53:24Z,2026-06-12T14:04:24Z,,19,6286,5746,rest-api/api/pkg/api/handler/vpcprefix.go|rest-api/api/pkg/api/handler/vpcprefix_test.go|rest-api/db/pkg/db/model/vpcprefix.go|rest-api/docs/index.html|rest-api/flow/internal/nicoapi/gen/fmds.pb.go|rest-api/flow/internal/nicoapi/gen/fmds_grpc.pb.go|rest-api/flow/internal/nicoapi/nicoproto/fmds.proto|rest-api/openapi/spec.yaml,14,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|strong-keywords:7|weak-keywords:1|negative-keywords:1
2288,https://github.com/NVIDIA/infra-controller/pull/2288,feat: Surface Flow task report on Task API,closed,True,kunzhao-nv,2026-06-07T18:44:29Z,2026-06-09T22:03:59Z,,22,11481,8967,rest-api/api/pkg/api/handler/task.go|rest-api/api/pkg/api/handler/task_test.go|rest-api/api/pkg/api/model/task.go|rest-api/api/pkg/api/model/task_test.go|rest-api/docs/index.html|rest-api/flow/internal/service/server_impl.go|rest-api/flow/internal/service/server_impl_list_tasks_test.go|rest-api/flow/pkg/proto/v1/flow.pb.go,14,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|strong-keywords:7|weak-keywords:1|negative-keywords:1
2534,https://github.com/NVIDIA/infra-controller/pull/2534,"feat: Surface Flow component status, leak status, and override-readiness in REST",closed,True,kunzhao-nv,2026-06-12T20:38:53Z,2026-06-12T22:06:24Z,,57,3885,3694,rest-api/api/pkg/api/handler/rack.go|rest-api/api/pkg/api/handler/tray.go|rest-api/api/pkg/api/handler/util/common/common.go|rest-api/api/pkg/api/model/firmware.go|rest-api/api/pkg/api/model/power.go|rest-api/api/pkg/api/model/power_test.go|rest-api/api/pkg/api/model/rack.go|rest-api/api/pkg/api/model/rack_test.go,14,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:6|weak-keywords:2|negative-keywords:1
2867,https://github.com/NVIDIA/infra-controller/pull/2867,feat(rest-api): Enhance get all VPC Peering filtering and peer Tenant visibility,closed,True,hwadekar-nv,2026-06-25T00:04:46Z,2026-06-29T15:40:35Z,,73,5742,2259,rest-api/api/pkg/api/handler/infinibandinterface.go|rest-api/api/pkg/api/handler/instance.go|rest-api/api/pkg/api/handler/nvlinkinterface.go|rest-api/api/pkg/api/handler/serviceaccount.go|rest-api/api/pkg/api/handler/serviceaccount_test.go|rest-api/api/pkg/api/handler/sshkey.go|rest-api/api/pkg/api/handler/tenant.go|rest-api/api/pkg/api/handler/tenantaccount.go,14,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|strong-keywords:6|weak-keywords:1|negative-keywords:1
2877,https://github.com/NVIDIA/infra-controller/pull/2877,fix(dhcp): Guard DHCP lease expiry handling with a feature flag.,closed,True,abvarshney-nv,2026-06-25T08:40:50Z,2026-06-27T04:56:13Z,,8,118,31,crates/api-core/src/cfg/file.rs|crates/api-core/src/dhcp/expire.rs|crates/api-core/src/test_support/default_config.rs|crates/api-core/src/tests/common/api_fixtures/mod.rs|crates/api-core/src/tests/dhcp_lease_expiration.rs|crates/dhcp/src/lease_expiration.rs|crates/rpc/proto/forge.proto|rest-api/flow/internal/nicoapi/nicoproto/nico.proto,14,yes,high,high-signal-path|ops/config-path|proto-change|strong-keywords:8|weak-keywords:2|negative-keywords:1
2967,https://github.com/NVIDIA/infra-controller/pull/2967,Upsert firmware config api,closed,True,rahmonov,2026-06-29T14:37:56Z,2026-06-30T13:07:00Z,,19,10631,7254,crates/api-core/src/api.rs|crates/api-core/src/auth/internal_rbac_rules.rs|crates/api-core/src/handlers/firmware.rs|crates/api-core/src/tests/host_firmware_config.rs|crates/api-core/src/tests/mod.rs|crates/api-db/migrations/20260624130000_host_firmware_config.sql|crates/api-db/src/host_firmware_config.rs|crates/api-db/src/lib.rs,14,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|strong-keywords:9|weak-keywords:1|negative-keywords:1
2037,https://github.com/NVIDIA/infra-controller/pull/2037,feat: Expose last seen scout version for a machine,closed,True,ericpretzel,2026-06-01T07:11:35Z,2026-06-05T20:18:53Z,,21,230,6,crates/agent/src/lib.rs|crates/api-core/src/handlers/machine_discovery.rs|crates/api-core/src/tests/common/api_fixtures/dpu.rs|crates/api-core/src/tests/common/api_fixtures/host.rs|crates/api-core/src/tests/common/api_fixtures/site_explorer.rs|crates/api-core/src/tests/machine_creator.rs|crates/api-core/src/tests/machine_discovery.rs|crates/api-core/src/tests/machine_states.rs,13,yes,high,high-signal-path|proto-change|config-or-schema-file|strong-keywords:7|weak-keywords:2|negative-keywords:1
2264,https://github.com/NVIDIA/infra-controller/pull/2264,"feat: Add ComponentStatus model in Flow — derive, persist, and surface per-component readiness",closed,True,kunzhao-nv,2026-06-05T20:14:55Z,2026-06-08T22:06:08Z,,26,2575,819,rest-api/flow/docs/grpc-api.html|rest-api/flow/docs/grpc-api.md|rest-api/flow/internal/converter/dao/converter.go|rest-api/flow/internal/converter/protobuf/converter.go|rest-api/flow/internal/db/migrations/20260605175553_component_status.down.sql|rest-api/flow/internal/db/migrations/20260605175553_component_status.up.sql|rest-api/flow/internal/db/migrations/20260605204000_component_updated_at.down.sql|rest-api/flow/internal/db/migrations/20260605204000_component_updated_at.up.sql,13,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:7|weak-keywords:1|negative-keywords:1
2479,https://github.com/NVIDIA/infra-controller/pull/2479,feat: Add operation run foundation,closed,True,jw-nvidia,2026-06-11T18:38:23Z,2026-06-12T20:23:31Z,,15,10341,1249,rest-api/flow/docs/operation-run-guide.md|rest-api/flow/internal/converter/dao/converter.go|rest-api/flow/internal/converter/protobuf/operationrun_converter.go|rest-api/flow/internal/converter/protobuf/operationrun_converter_test.go|rest-api/flow/internal/db/migrations/20260608000000_create_operation_run_tables.down.sql|rest-api/flow/internal/db/migrations/20260608000000_create_operation_run_tables.up.sql|rest-api/flow/internal/db/model/operation_run.go|rest-api/flow/internal/operationrun/configuration.go,13,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:8|weak-keywords:1|negative-keywords:1
